Player,Team
Lamar Jackson,Ravens
Josh Allen,Bills
Joe Burrow,Bengals
Beshaun Watson,Browns
Jarret Stidham,Broncos
Russel Wilson,Broncos
C.J. Stroud,Texans
Anthony Richardson,Colts
Trevor Lawrence,Jaguars
Patrick Mahomes,Chiefs
Aidan O'Connel,Raiders
Justin Herbert,Chargers
Tua Tagvailoa,Dolphins
Bailey Zappe,Patriots
Mac Jones,Patrios
Aaron Rodgers,Jets
Mason Rudolph,Steelers
Kenny Pickett,Steelers
Will Levis,Titans
Desmond Ridder,Falcons
Kyler Murray,Cardinals
Bryce Young,Panthers
Justin Fields,Bears
Dak Prescott,Cowboys
Jared Goff,Lions
Jordan Love,Packers
Matthew Stafford,Rams
Kirk Cousins,Vikings
Derek Carr,Saints
Daniel Jones,Giants
Jalen Hurts,Eagles
Brock Purdy,49ers
Geno Smith,Seahawks
Baker Mayfield,Buccaneers
Sam Howell,Commanders