NFL Team,W,L,T,PCT,PF,PA,Net Pts,Home,Road,Div,Pct,Conf,Pct,Non-Conf,Strk,Last 5
Ravens,13,4,0,0.765,483,280,203,6 - 3 - 0,7 - 1 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,5 - 0 - 0,1L,4 - 1 - 0
Cowboys,12,5,0,0.706,509,315,194,8 - 0 - 0,4 - 5 - 0,5 - 1 - 0,0.833,9 - 3 - 0,0.75,3 - 2 - 0,2W,3 - 2 - 0
Lions,12,5,0,0.706,461,395,66,6 - 2 - 0,6 - 3 - 0,4 - 2 - 0,0.667,8 - 4 - 0,0.667,4 - 1 - 0,1W,3 - 2 - 0
49ers,12,5,0,0.706,491,298,193,5 - 3 - 0,7 - 2 - 0,5 - 1 - 0,0.833,10 - 2 - 0,0.833,2 - 3 - 0,1L,3 - 2 - 0
Bills,11,6,0,0.647,451,311,140,7 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 1 - 0,5W,5 - 0 - 0
Browns,11,6,0,0.647,396,362,34,8 - 1 - 0,3 - 5 - 0,3 - 3 - 0,0.5,8 - 4 - 0,0.667,3 - 2 - 0,1L,4 - 1 - 0
Chiefs,11,6,0,0.647,371,294,77,5 - 4 - 0,6 - 2 - 0,4 - 2 - 0,0.667,9 - 3 - 0,0.75,2 - 3 - 0,2W,3 - 2 - 0
Dolphins,11,6,0,0.647,496,391,105,7 - 2 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 1 - 0,2L,2 - 3 - 0
Eagles,11,6,0,0.647,433,428,5,6 - 2 - 0,5 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,4 - 1 - 0,2L,1 - 4 - 0
Texans,10,7,0,0.588,377,353,24,6 - 3 - 0,4 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,3 - 2 - 0,2W,3 - 2 - 0
Rams,10,7,0,0.588,404,377,27,5 - 3 - 0,5 - 4 - 0,5 - 1 - 0,0.833,8 - 4 - 0,0.667,2 - 3 - 0,4W,4 - 1 - 0
Steelers,10,7,0,0.588,304,324,-20,5 - 4 - 0,5 - 3 - 0,5 - 1 - 0,0.833,7 - 5 - 0,0.583,3 - 2 - 0,3W,3 - 2 - 0
Bengals,9,8,0,0.529,366,384,-18,6 - 3 - 0,3 - 5 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,5 - 0 - 0,1W,3 - 2 - 0
Packers,9,8,0,0.529,383,350,33,5 - 3 - 0,4 - 5 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 3 - 0,3W,3 - 2 - 0
Colts,9,8,0,0.529,396,415,-19,4 - 5 - 0,5 - 3 - 0,3 - 3 - 0,0.5,7 - 5 - 0,0.583,2 - 3 - 0,1L,2 - 3 - 0
Jaguars,9,8,0,0.529,377,371,6,4 - 5 - 0,5 - 3 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,3 - 2 - 0,1L,1 - 4 - 0
Saints,9,8,0,0.529,402,327,75,5 - 3 - 0,4 - 5 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,3 - 2 - 0,2W,4 - 1 - 0
Seahawks,9,8,0,0.529,364,402,-38,5 - 3 - 0,4 - 5 - 0,2 - 4 - 0,0.333,7 - 5 - 0,0.583,2 - 3 - 0,1W,3 - 2 - 0
Buccaneers,9,8,0,0.529,348,325,23,4 - 4 - 0,5 - 4 - 0,4 - 2 - 0,0.667,7 - 5 - 0,0.583,2 - 3 - 0,1W,4 - 1 - 0
Broncos,8,9,0,0.471,357,413,-56,5 - 4 - 0,3 - 5 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,3 - 2 - 0,1L,2 - 3 - 0
Raiders,8,9,0,0.471,332,331,1,6 - 3 - 0,2 - 6 - 0,4 - 2 - 0,0.667,6 - 6 - 0,0.5,2 - 3 - 0,1W,3 - 2 - 0
Falcons,7,10,0,0.412,321,373,-52,5 - 3 - 0,2 - 7 - 0,3 - 3 - 0,0.5,4 - 8 - 0,0.333,3 - 2 - 0,2L,1 - 4 - 0
Bears,7,10,0,0.412,360,379,-19,5 - 3 - 0,2 - 7 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,1 - 4 - 0,1L,3 - 2 - 0
Vikings,7,10,0,0.412,344,362,-18,2 - 6 - 0,5 - 4 - 0,2 - 4 - 0,0.333,6 - 6 - 0,0.5,1 - 4 - 0,4L,1 - 4 - 0
Jets,7,10,0,0.412,268,355,-87,4 - 5 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,3 - 2 - 0,1W,3 - 2 - 0
Giants,6,11,0,0.353,266,407,-141,4 - 4 - 0,2 - 7 - 0,3 - 3 - 0,0.5,5 - 7 - 0,0.417,1 - 4 - 0,1W,2 - 3 - 0
Titans,6,11,0,0.353,305,367,-62,5 - 4 - 0,1 - 7 - 0,1 - 5 - 0,0.167,4 - 8 - 0,0.333,2 - 3 - 0,1W,2 - 3 - 0
Chargers,5,12,0,0.294,346,398,-52,2 - 7 - 0,3 - 5 - 0,1 - 5 - 0,0.167,3 - 9 - 0,0.25,2 - 3 - 0,5L,0 - 5 - 0
Cardinals,4,13,0,0.235,330,455,-125,2 - 6 - 0,2 - 7 - 0,0 - 6 - 0,0,3 - 9 - 0,0.25,1 - 4 - 0,1L,2 - 3 - 0
Patriots,4,13,0,0.235,236,366,-130,1 - 8 - 0,3 - 5 - 0,2 - 4 - 0,0.333,4 - 8 - 0,0.333,0 - 5 - 0,2L,2 - 3 - 0
Commanders,4,13,0,0.235,329,518,-189,1 - 7 - 0,3 - 6 - 0,0 - 6 - 0,0,2 - 10 - 0,0.167,2 - 3 - 0,8L,0 - 5 - 0
Panthers,2,15,0,0.118,236,416,-180,2 - 6 - 0,0 - 9 - 0,1 - 5 - 0,0.167,1 - 11 - 0,0.083,1 - 4 - 0,3L,1 - 4 - 0