Team,FF,FR,FR TD,Rec FUM,Rush FUM
49ers,10,6,0,6,4
Bears,13,6,0,4,6
Bengals,11,9,0,4,6
Bills,14,11,0,7,4
Broncos,19,15,1,2,12
Browns,14,10,1,2,5
Buccaneers,18,12,0,6,8
Cardinals,6,6,1,2,4
Chargers,15,12,0,3,8
Chiefs,15,9,2,6,7
Colts,17,9,1,4,7
Commanders,10,10,0,3,8
Cowboys,14,8,1,5,8
Dolphins,15,12,0,6,5
Eagles,16,8,1,6,5
Falcons,19,8,0,3,9
Giants,19,13,0,8,6
Jaguars,12,11,0,5,4
Jets,14,10,1,5,13
Lions,13,6,0,3,4
Packers,10,11,1,1,5
Panthers,5,3,0,3,4
Patriots,15,8,1,3,11
Raiders,14,9,2,4,6
Rams,7,5,0,2,7
Ravens,16,13,0,3,4
Saints,8,11,1,4,4
Seahawks,13,8,0,5,3
Steelers,19,11,1,6,8
Texans,15,10,1,6,5
Titans,13,8,0,2,3
Vikings,22,11,2,9,7